File,File Index,Sub File Index,Call Index,Abs. Start Time,Abs. End Time,Rel. Start Time,Rel. End Time,Call Length,Call Type,File Start Time
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 5\wav_section - 0.wav,0,0,0,1.332034727,1.377797883,1.332034727,1.377797883,0.045763156,Complex,0
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 5\wav_section - 0.wav,0,1,1,1.820719859,1.889364594,1.820719859,1.889364594,0.068644735,Flat,0
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 5\wav_section - 0.wav,0,2,2,4.061480117,4.115415266,4.061480117,4.115415266,0.053935149,Step Up,0
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 5\wav_section - 1.wav,1,0,3,5.157268672,5.232635,0.973208672,1.048575,0.075366328,Step Up,4.18406
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 5\wav_section - 1.wav,1,1,4,5.563591484,5.653703398,1.379531484,1.469643398,0.090111914,Step Down,4.18406
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 5\wav_section - 1.wav,1,2,5,6.135256338,6.167106804,1.951196338,1.983046804,0.031850466,Multi-Step,4.18406
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 5\wav_section - 2.wav,2,0,6,9.935357747,10.00160958,1.556997747,1.62324958,0.066251833,Flat,8.37836
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 5\wav_section - 2.wav,2,1,7,10.09860811,10.15900343,1.72024811,1.78064343,0.06039532,Inverted U,8.37836
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 5\wav_section - 2.wav,2,2,8,10.2871147,10.33506492,1.9087547,1.95670492,0.04795022,Inverted U,8.37836
F:\mide\rat_chat\data\sams_secret_spectral_stash\round_1\COLLECTION_FOR_FIRST_USE_COPIES\full - 5\wav_section - 2.wav,2,3,9,10.59490597,10.64473176,2.21654597,2.26637176,0.04982579,Upward Ramp,8.37836
